Change Component Footprint: Designator=Q2_P1 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P2 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P3 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P4 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P5 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P6 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P7 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change Component Footprint: Designator=Q2_P8 Old Footprint=PCB-iok221h7g3hg093tnixb-1 New Footprint=PCB-iok221h7g3hg093tnixb-1
Change component parameters: Designator = "J7"; Footprint = "JST-S3B-XH-A(LF)(SN)_V"; UniqueID = "\UEJRVOYF"
Change component parameters: Designator = "J8"; Footprint = "PCB-fv0n1qe7e7tw0owzte2c-1"; UniqueID = "\LLYXASGL"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "7.00 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Color"; Value = "Natural"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "1.00 GO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "B4PS-VH(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/b4ps-vh%28lf%29%28sn%29-jst-248814"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "85.0 °C (max)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Pitch"; Value = "3.96 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC Compliance"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size-Height"; Value = "8.50 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size-Length"; Value = "15.8 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "J9"; Footprint = "PCB-fv0n1qe7e7tw0owzte2c-1"; UniqueID = "\GAGDWGZE"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "7.00 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Color"; Value = "Natural"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "1.00 GO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "B4PS-VH(LF)(SN)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/b4ps-vh%28lf%29%28sn%29-jst-248814"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "85.0 °C (max)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Pitch"; Value = "3.96 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC Compliance"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size-Height"; Value = "8.50 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size-Length"; Value = "15.8 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P1"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\BVIWGXDB\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P2"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\USSHXABJ\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P3"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\FCQOCDQA\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P4"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\YBOJKVWB\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P5"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\SFFMDBRQ\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P6"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\AOLEGRCD\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P7"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\GPPYIBAU\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2_P8"; Footprint = "PCB-iok221h7g3hg093tnixb-1"; UniqueID = "\WQDONKCW\LHCWBDCI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Lead-Free Status"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "NTMFS4C022NT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = "42ac8f2778579d6b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart URL"; Value = "https://octopart.com/ntmfs4c022nt1g-on+semiconductor-75571101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C179623"; VariantName = "[No Variations]"
Change component parameters: Designator = "C4"; Footprint = "C0805"; UniqueID = "\MKVBCNBK\WVBSZGAF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CC0805JRNPO9BN151"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CC0805JRNPO9BN151"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C107111"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5"; Footprint = "C0805"; UniqueID = "\MKVBCNBK\YAHWXPEP"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C95841"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6"; Footprint = "C0805"; UniqueID = "\MKVBCNBK\SMFLCFIK"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C95841"; VariantName = "[No Variations]"
Change component parameters: Designator = "C7"; Footprint = "C0805"; UniqueID = "\KWKGIKGG"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C95841"; VariantName = "[No Variations]"
Change component parameters: Designator = "C8"; Footprint = "C0603"; UniqueID = "\DQPKZZKK"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL10A226MP8NUNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Extend"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL10A226MP8NUNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C86295"; VariantName = "[No Variations]"
Change component parameters: Designator = "C9"; Footprint = "C0603"; UniqueID = "\BFGVYTOU"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CC0603KRX7R9BB104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Basic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CC0603KRX7R9BB104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C14663"; VariantName = "[No Variations]"
Change component parameters: Designator = "C10"; Footprint = "C0805"; UniqueID = "\GFUAEMQO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C95841"; VariantName = "[No Variations]"
Change component parameters: Designator = "C11"; Footprint = "C0603"; UniqueID = "\QBJRWZWD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CC0603KRX7R9BB104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Basic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CC0603KRX7R9BB104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C14663"; VariantName = "[No Variations]"
Change component parameters: Designator = "C12"; Footprint = "C0805"; UniqueID = "\ZEWBXVHT"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C95841"; VariantName = "[No Variations]"
Change component parameters: Designator = "C13"; Footprint = "C0603"; UniqueID = "\GDXDWWPY"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "BOM_LCSC Assembly"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CC0603KRX7R9BB104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMT Type"; Value = "Basic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "CC0603KRX7R9BB104"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C14663"; VariantName = "[No Variations]"
Change component parameters: Designator = "C14"; Footprint = "C0805"; UniqueID = "\FJSSFIUW"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacture Part Number"; Value = "CL21B106KOQNNNE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SAMSUNG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "nameAlias"; Value = "Capacitance"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "C"; VariantName = "[No Variations]"
